ra_deg,dec_deg,mag,nama,bayer,konstelasi,hip
234.66405,-29.77775,3.66,,Tau,Lib,76600
211.09748,64.37585,3.67,Thuban,Alp,Dra,68756
313.70247,-58.45416,3.67,,Bet,Ind,103227
72.80151,5.60510,3.68,,Pi-4,Ori,22549
130.89809,-33.18639,3.68,,Alp,Pyx,42828
296.84692,18.53429,3.68,,Del,Sge,97365
347.36165,-21.17241,3.68,,,Aqr,114341
9.24282,53.89691,3.69,Fulu,Zet,Cas,2920
28.98846,-51.60890,3.69,,Chi,Eri,9007
75.61951,41.07584,3.69,Saclateni,Zet,Aur,23453
146.31176,-62.50790,3.69,,,Car,47854
176.51272,47.77941,3.69,Taiyangshou,Chi,UMa,57399
325.02272,-16.66231,3.69,Nashira,Gam,Cap,106985
49.87917,-21.75786,3.70,,Tau-4,Eri,15474
269.44116,29.24788,3.70,,Xi,Her,87933
349.29141,3.28229,3.70,,Gam,Psc,114971
73.56289,2.44067,3.71,,Pi-5,Ori,22797
89.10123,-14.16770,3.71,,Eta,Lep,28103
118.05432,-40.57579,3.71,,,Pup,38414
237.70403,4.47773,3.71,,Eps,Ser,77622
271.83744,9.56385,3.71,,,Oph,88771
298.82831,6.40676,3.71,Alshain,Bet,Aql,98036
53.23272,-9.45826,3.72,Ran,Eps,Eri,16537
56.21890,24.11334,3.72,Electra,,Tau,17499
89.88167,54.28466,3.72,,Del,Aur,28358
316.23276,43.92785,3.72,,Xi,Cyg,104060
51.79230,9.73268,3.73,,Xi,Tau,16083
221.56218,1.89288,3.73,,,Vir,72220
268.38201,56.87264,3.73,Grumium,Xi,Dra,87585
325.36879,-77.39005,3.73,,Nu,Oct,107089
343.15365,-7.57960,3.73,,Lam,Aqr,112961
27.86514,-10.33504,3.74,Baten Kaitos,Zet,Cet,8645
245.48007,19.15313,3.74,,Gam,Her,80170
318.69776,38.04532,3.74,,Tau,Cyg,104887
136.03872,-47.09774,3.75,,,Vel,44511
266.97316,2.70728,3.75,,Gam,Oph,87108
83.40631,-62.48983,3.76,,Bet,Dor,26069
87.83035,-20.87909,3.76,,Del,Lep,27654
97.20445,-7.03306,3.76,,Bet,Mon,30867
286.17075,-21.74150,3.76,,Omi,Sgr,93683
292.42647,51.72978,3.76,,Iot-2,Cyg,95853
337.82272,50.28249,3.76,,Alp,Lac,111169
42.67417,55.89550,3.77,Miram,Eta,Per,13268
56.29848,42.57855,3.77,,Nu,Per,17529
65.73370,17.54251,3.77,Secunda Hyadum,Del-1,Tau,20455
84.68653,-2.60007,3.77,,Sig,Ori,26549
126.43426,-66.13689,3.77,,Bet,Vol,41312
130.15655,-46.64874,3.77,,,Vel,42570
252.44640,-59.04138,3.77,,Eta,Ara,82363
309.90952,15.91207,3.77,Sualocin,Alp,Del,101958
321.66678,-22.41133,3.77,,Zet,Cap,105881
331.75270,25.34511,3.77,,Iot,Peg,109176
107.18682,-70.49893,3.78,,Gam-2,Vol,34481
111.43168,27.79808,3.78,,Iot,Gem,36046
147.74801,59.03874,3.78,,Ups,UMa,48319
163.37339,-58.85317,3.78,,,Car,53253
220.28730,13.72830,3.78,,Zet,Boo,71795
311.91897,-9.49578,3.78,Albali,Eps,Aqr,102618
47.37387,44.85754,3.79,Misam,Kap,Per,14668
163.32789,34.21487,3.79,Praecipua,,LMi,53229
48.01873,-28.98762,3.80,Dalim,Alp,For,14879
114.70779,-26.80384,3.80,,,Pup,37229
233.70061,10.53887,3.80,,Del,Ser,76276
289.27560,53.36846,3.80,,Kap,Cyg,94779
303.40794,46.74133,3.80,,,Cyg,99675
68.88768,-30.56234,3.81,Theemin,Ups-2,Eri,21393
156.96973,-58.73940,3.81,,,Car,51232
235.68572,26.29564,3.81,,Gam,CrB,76952
354.39084,46.45815,3.81,,Lam,And,116584
