nama,lat,lon,elevasi_m
Bonto Bulubuluk,-5.086111,119.987500,
Bonto Bulubuluk,-5.084722,120.021389,
Bonto Carumbai Dua,-5.050000,119.917778,
Bonto CarumbaiSatu,-5.037778,119.921111,
Bonto Diharelaju,-5.093333,119.882778,
Bonto Dongolo,-5.506667,119.611111,
Bonto Dura,-7.297300,120.994100,
Bonto Jahongjahong,-5.106944,119.962500,
Bonto Jamara,-5.538056,119.683611,
Bonto Kacombang,-5.068056,119.914167,
Bonto Kajenorang,-5.079444,119.855833,
Bonto Kalimbu,-7.035833,120.648056,
Bonto Kalumpatallo,-5.503056,119.692778,
Bonto Kasa,-5.051111,119.985000,
Bonto Kassikassi,-5.575278,119.612778,
Bonto Kembangragi,-7.136100,120.660100,
Bonto Kuca,-5.559722,119.738333,
Bonto Kukusan,-5.113611,119.951389,
Bonto Langilangiri,-5.072222,119.882222,
Bonto Lembonga,-7.282222,120.832500,
Bonto Ligara,-5.530556,119.686111,
Bonto Limpoe,-5.014167,119.933889,
Bonto Magatinggating,-5.002500,119.929722,
Bonto Makajoa,-5.058889,119.915556,
Bonto Mappakkae,-5.016944,119.982778,
Bonto Matabalu,-5.516667,119.730556,
Bonto Padagang,-5.082222,119.900278,
Bonto Padange,-5.022500,119.891389,
Bonto Pammolikang,-5.128333,119.998056,
Bonto Petorombali,-5.517500,119.699167,
Bonto Pocimmanuk,-5.144444,119.979722,
Bonto Romansibotong,-5.557222,119.636111,
Bonto Rupulumuwe,-5.090000,119.894167,
Bonto Sakengkeng,-5.534444,119.636111,
Bonto Sehak,-5.141944,119.977500,
Bonto Simelu,-5.096111,119.996667,
Bonto Sirukang,-5.587500,119.636389,
Bonto Suka,-5.581944,119.665278,
Bonto Surulangi,-5.516389,119.682500,
Bonto Tabilangara,-5.517222,119.567500,
Bonto Tarutu,-5.511667,119.580000,
Bonto Timbele,-5.043056,119.842500,
Bonto Tinambung,-5.041111,119.866389,
Bonto Toppalang,-5.147500,119.981111,
Bonto Towenga,-5.581944,119.591389,
Bonto Uhekeke,-5.148333,119.999167,
Botto Abanuang,-3.907778,120.107500,
Botto Alupangeng,-3.864167,120.131667,
Botto Ampang,-3.730000,120.152222,
Botto Apetae,-3.896389,120.234444,
Botto Attiroang,-3.794444,119.859444,
Botto Babang,-3.536389,120.230278,
Botto Baje,-3.685833,119.775833,
Botto Batanaulang,-3.913056,120.068056,
Botto Batu,-3.590833,120.064444,
Botto Batu,-3.739167,120.173611,
Botto Bila,-3.848000,120.046400,
Botto Bila,-3.796389,119.898056,
Botto Cakke,-3.734722,120.143611,
Botto Camang,-3.794444,120.315278,
Botto Caputing,-3.786944,120.277222,
Botto Cekomae,-4.507500,119.868889,
Botto Cupere,-3.882222,120.088611,
Botto Dokedoke,-3.645556,120.076111,
Botto Eronge,-3.789167,120.301111,
Botto Galung,-3.740833,120.183333,
Botto Gering,-3.593889,120.125833,
Botto Kalaciri,-3.701944,120.002778,
Botto Karauntaun,-3.712222,120.022222,
Botto Kesih,-3.590833,120.090556,
Botto Labeco,-3.913056,120.223056,
Botto Laboseng,-3.962778,120.121389,
Botto Lajange,-3.818889,120.258611,
Botto Lakacupa,-3.896111,120.205833,
Botto Lampiring,-3.743611,120.037500,
Botto Lampu,-3.921600,120.284500,
Botto Lanja,-3.530500,120.119000,
Botto Lapatta,-3.634167,120.040556,
Botto Lariu,-3.596667,120.027778,
Botto Lebu,-3.590556,120.176667,
Botto Libu,-3.741111,120.145278,
Botto Likulangceng,-3.843333,120.082778,
Botto Lingerang,-3.817500,120.094444,
Botto Mabangkarae,-3.933056,120.124167,
Botto Malapi,-3.965833,120.111667,
Botto Maloppong,-3.699722,120.102778,
Botto Manipi,-3.921389,120.120000,
Botto Maroanging,-3.806944,120.273611,
